Rotation Data (1D Kymograph Signal [radians vs time]),
1mM/1mM_leu1m_1.tif,
20170413 17:11:32.860,
,
time (ms),cell0,
0.0,274.839031034
16.0,280.24540376
33.0,239.974456547
50.0,297.689204393
67.0,307.224672193
84.0,266.38586909
101.0,263.431316241
118.0,310.73695366
135.0,311.166240608
152.0,311.823440075
169.0,306.76439738
186.0,252.260042818
203.0,243.982790032
219.0,187.774461961
236.0,303.217323897
253.0,297.104773049
270.0,239.500506432
287.0,287.504253864
304.0,310.773913444
321.0,311.959688543
338.0,310.222393632
355.0,297.335523784
372.0,309.503048378
389.0,253.269242184
406.0,250.359679211
423.0,152.911365623
439.0,293.74752594
456.0,299.703288126
473.0,259.489117117
490.0,235.361201762
507.0,310.45325075
524.0,311.902471204
541.0,311.210816414
558.0,308.147346255
575.0,303.067137131
592.0,272.288154126
609.0,134.410694529
626.0,298.508573061
643.0,302.506159485
659.0,292.982286131
676.0,290.739985245
693.0,249.84100447
710.0,274.696569207
727.0,287.834022198
744.0,300.528431083
761.0,304.699260467
778.0,310.839806657
795.0,311.773909141
812.0,311.024809432
829.0,307.537904768
846.0,309.113340058
862.0,307.752580056
879.0,280.606422176
896.0,308.074396496
913.0,307.928099098
930.0,310.017447555
947.0,310.089431314
964.0,310.498958426
981.0,311.328203447
998.0,311.23119633
1015.0,303.543397255
1032.0,266.293487993
1049.0,258.130208292
1066.0,217.910916326
1082.0,273.165528557
1099.0,308.615494256
1116.0,308.746514231
1133.0,287.369272604
1150.0,290.801763786
1167.0,293.805697175
1184.0,310.993925349
1201.0,310.353543662
1218.0,311.613608363
1235.0,310.311517081
1252.0,309.878201431
1269.0,281.183884725
1286.0,302.531606396
1302.0,311.090654656
1319.0,312.10827473
1336.0,310.147493142
1353.0,250.837573898
1370.0,238.165834147
1387.0,254.389271464
1404.0,309.255310982
1421.0,257.910641888
1438.0,234.595406661
1455.0,311.063287674
1472.0,312.026011378
1489.0,310.893867886
1506.0,292.929998151
1522.0,276.7230551
1539.0,202.297531729
1556.0,300.358146042
1573.0,304.016484126
1590.0,263.906885347
1607.0,281.144805512
1624.0,300.613547779
1641.0,310.668534923
1658.0,312.100003792
1675.0,310.270823769
1692.0,291.945212931
1709.0,283.484341998
1725.0,296.306923212
1742.0,294.829839781
1759.0,294.848350773
1776.0,253.022413966
1793.0,294.856104702
1810.0,310.837001809
1827.0,311.191191334
1844.0,310.66187699
1861.0,273.414990392
1878.0,250.040367454
1895.0,136.439069108
1912.0,303.89351576
1929.0,307.28551781
1945.0,130.091621916
1962.0,254.314482479
1979.0,263.202516622
1996.0,255.395452288
2013.0,288.155873108
2030.0,306.554950834
2047.0,286.306749624
2064.0,264.17266659
2081.0,274.210329895
2098.0,308.122833425
2115.0,306.724807022
2132.0,306.959848426
2149.0,311.086960304
2165.0,227.17176856
2182.0,238.353169764
2199.0,284.09394047
2216.0,260.039520587
2233.0,118.945316616
2250.0,280.08551996
2267.0,304.165201386
2284.0,299.955928777
2301.0,302.157937536
2318.0,291.852745919
2335.0,215.693000492
2352.0,309.599952022
2369.0,310.265617472
2385.0,311.180774931
2402.0,307.139934783
2419.0,249.250340357
2436.0,105.947837913
2453.0,284.339996322
2470.0,308.8724105
2487.0,282.321912379
2504.0,268.589158691
2521.0,310.166271452
2538.0,311.347741965
2555.0,311.414679021
2572.0,309.979657891
2588.0,286.071480496
2605.0,267.264968717
2622.0,199.600518612
2639.0,297.633285265
2656.0,309.713657399
2673.0,311.173642887
2690.0,307.942005229
2707.0,303.103391331
2724.0,302.391184891
2741.0,299.453446351
2758.0,299.488335156
2775.0,288.427286473
2792.0,276.778708515
2808.0,310.177886724
2825.0,311.483709752
2842.0,309.604603503
2859.0,291.382478579
2876.0,250.999107498
2893.0,219.777995468
2910.0,306.16733397
2927.0,310.510576784
2944.0,298.411801097
2961.0,233.157217019
2978.0,297.248738912
2995.0,310.14159565
3012.0,310.190892495
3028.0,310.499698065
3045.0,310.530794663
3062.0,311.560042726
3079.0,311.726279549
3096.0,311.675712392
3113.0,311.168892622
3130.0,259.404015456
3147.0,306.889773429
3164.0,310.179161981
3181.0,309.528051932
3198.0,306.327314047
3215.0,302.267952702
3231.0,283.634984535
3248.0,306.391930838
3265.0,310.855660573
3282.0,311.065788361
3299.0,307.666023411
3316.0,251.168497542
3333.0,139.518848064
3350.0,301.394950254
3367.0,307.4389794
3384.0,277.52048702
3401.0,309.365602803
3418.0,310.8951482
3435.0,311.700113655
3451.0,308.349570131
3468.0,307.051151386
3485.0,258.619599644
3502.0,301.568711557
3519.0,310.099301454
3536.0,305.881955329
3553.0,50.2727614851
3570.0,229.721839556
3587.0,300.900335447
3604.0,309.48590534
3621.0,307.663418843
3638.0,238.581759999
3655.0,302.81650644
3671.0,310.136121672
3688.0,308.197282164
3705.0,46.1500869681
3722.0,234.587520353
3739.0,303.217746756
3756.0,309.684229734
3773.0,306.483615363
3790.0,261.794049013
3807.0,307.376873383
3824.0,310.251759482
3841.0,309.251716215
3858.0,58.4315674194
3875.0,242.013642811
3891.0,303.991971083
3908.0,309.838786131
3925.0,305.347396311
3942.0,242.203737655
3959.0,306.884968367
3976.0,310.151231528
3993.0,309.427282576
4010.0,177.772930235
4027.0,262.819743239
4044.0,307.91059035
4061.0,310.069582611
4078.0,267.153925481
4094.0,261.25014051
4111.0,307.841601263
4128.0,310.009937469
4145.0,308.811029589
4162.0,118.118976536
4179.0,242.77368062
4196.0,306.767212237
4213.0,309.910499972
4230.0,273.550581075
4247.0,249.126423305
4264.0,303.801265176
4281.0,310.202770787
4298.0,309.382103047
4314.0,118.800656641
4331.0,244.786879858
4348.0,308.235700956
4365.0,309.894066671
4382.0,287.946911927
4399.0,259.191644234
4416.0,307.073999889
4433.0,310.240272697
4450.0,309.918443842
4467.0,90.2877319924
4484.0,258.718683506
4501.0,309.500951885
4518.0,310.373099528
4534.0,298.594996076
4551.0,257.737022576
4568.0,308.668219365
4585.0,310.24382758
4602.0,308.610190267
4619.0,65.2721107661
4636.0,248.323742485
4653.0,309.883248339
4670.0,310.276665666
4687.0,302.439143308
4704.0,284.880135749
4721.0,310.086246908
4738.0,310.167783713
4754.0,301.212558209
4771.0,310.971908751
4788.0,311.300759502
4805.0,311.869499563
4822.0,309.65030185
4839.0,266.508337805
4856.0,204.263983398
4873.0,309.255677321
4890.0,309.661087003
4907.0,300.929327026
4924.0,257.823383961
4941.0,310.339503852
4957.0,312.162783265
4974.0,311.104232719
4991.0,305.562490114
5008.0,286.425788951
5025.0,249.673392682
5042.0,297.624948048
5059.0,295.631413269
5076.0,280.465789274
5093.0,289.724300564
5110.0,311.492834576
5127.0,312.234199327
5144.0,310.209392058
5161.0,271.700252726
5177.0,235.342472086
5194.0,300.984800238
5211.0,306.56694191
5228.0,286.33190545
5245.0,290.66733294
5262.0,310.631485362
5279.0,312.256311926
5296.0,311.066021504
5313.0,306.048194894
5330.0,300.785059047
5347.0,254.292610284
5364.0,299.840125223
5381.0,305.702844231
5397.0,237.768550432
5414.0,258.868237653
5431.0,311.354409215
5448.0,311.209802446
5465.0,311.345203048
5482.0,309.211766096
